"OBJECTID","Reference","Sampling_Date","Gear","ExDate","Bluefish","Common.Snook","Mullets","Pinfish","Red.Drum","Sand.Seatrout"
2761974,"TBM2016102015","2016-10-24 20:00:00",300,"2018-04-12 07:07:17",0,0,0,2,0,0
2762007,"TBM2016110402","2016-11-06 19:00:00",160,"2018-04-12 07:07:17",0,31,0,0,0,0
2762044,"TBM2016110904","2016-11-14 19:00:00",20,"2018-04-12 07:07:21",0,0,0,0,2,0
2762367,"TBM2016110405","2016-11-06 19:00:00",160,"2018-04-12 07:06:53",0,6,0,0,0,0
2762371,"TBM2016110507","2016-11-08 19:00:00",20,"2018-04-12 07:06:53",0,0,0,0,1,0
2762394,"TBM2016110902","2016-11-14 19:00:00",20,"2018-04-12 07:06:53",0,0,0,3,0,0
2762408,"TBM2016111116","2016-11-14 19:00:00",300,"2018-04-12 07:06:53",0,0,0,1,0,0
2762536,"TBM2016121203","2016-12-04 19:00:00",160,"2018-04-12 07:07:23",0,0,0,0,1,0
2762543,"TBM2016121308","2016-12-12 19:00:00",20,"2018-04-12 07:07:23",0,0,0,0,3,0
2762935,"TBM2016121203","2016-12-04 19:00:00",160,"2018-04-12 07:07:06",0,112,0,0,0,0
2767014,"TBM2010121009","2010-12-01 19:00:00",300,"2018-04-12 06:54:07",0,0,0,0,0,1
2767166,"TBM2011020305","2011-02-06 19:00:00",20,"2018-04-12 06:54:09",0,0,0,19,0,0
2767296,"TBM2011030603","2011-03-01 19:00:00",20,"2018-04-12 06:56:00",0,0,0,0,1,0
2767331,"TBM2011031203","2011-03-08 19:00:00",160,"2018-04-12 06:56:00",0,1,0,0,0,0
2767420,"TBM2011040806","2011-04-05 20:00:00",160,"2018-04-12 06:56:18",0,0,0,2,0,0
2767422,"TBM2011040806","2011-04-05 20:00:00",160,"2018-04-12 06:56:18",0,0,0,0,11,0
2767439,"TBM2011041204","2011-04-13 20:00:00",160,"2018-04-12 06:56:18",0,2,0,0,0,0
2778911,"TBM2011091001","2011-09-07 20:00:00",160,"2018-04-12 06:57:03",0,0,0,153,0,0
2778913,"TBM2011091002","2011-09-07 20:00:00",160,"2018-04-12 06:57:03",0,0,0,593,0,0
