OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,ExDate,Bluefish,Common Snook,Mullets,Pinfish,Red Drum,Sand Seatrout
2600163,TBM2009040102,2009-04-01T00:00:00Z,27.908983,-82.627683,20,2018-04-12T10:44:48Z,0,0,0,25,0,0
2600211,TBM2009040809,2009-04-09T00:00:00Z,27.920416,-82.534283,20,2018-04-12T10:44:48Z,0,0,0,48,0,0
2600953,TBM2009041102,2009-04-08T00:00:00Z,27.881366,-82.534933,20,2018-04-12T10:41:53Z,0,0,0,980,0,0
2601250,TBM2009050404,2009-05-04T00:00:00Z,27.941866,-82.698233,300,2018-04-12T10:41:52Z,0,0,0,3,0,0
2601252,TBM2009050406,2009-05-04T00:00:00Z,27.910816,-82.6081,300,2018-04-12T10:41:52Z,0,0,0,1,0,0
2601685,TBM2009020904,2009-02-16T00:00:00Z,28.010117,-82.654033,160,2018-04-12T10:41:52Z,0,0,0,0,18,0
2602393,TBM2009040101,2009-04-01T00:00:00Z,27.89775,-82.604233,300,2018-04-12T10:41:53Z,0,0,0,3,0,0
2602639,TBM2009040104,2009-04-01T00:00:00Z,27.965666,-82.657033,20,2018-04-12T10:41:50Z,0,0,0,19,0,0
2603059,TBM2009040107,2009-04-01T00:00:00Z,28.018316,-82.666566,160,2018-04-12T10:41:53Z,0,0,0,0,1,0
2603119,TBM2009041104,2009-04-08T00:00:00Z,27.917833,-82.535766,160,2018-04-12T10:41:55Z,0,0,0,1,0,0
2603265,TBM2009040806,2009-04-09T00:00:00Z,27.858583,-82.590166,300,2018-04-12T10:41:50Z,0,0,0,14,0,0
2603589,TBM2009050108,2009-05-04T00:00:00Z,27.940916,-82.552683,160,2018-04-12T10:41:55Z,0,0,0,101,0,0
2604007,TBM2009050409,2009-05-04T00:00:00Z,27.849633,-82.557283,300,2018-04-12T10:41:50Z,0,0,0,1,0,0
2605492,TBM2009060604,2009-06-09T00:00:00Z,27.8593,-82.553783,300,2018-04-12T10:42:26Z,0,0,0,6,0,0
2605515,TBM2009061001,2009-06-15T00:00:00Z,28.001266,-82.639316,20,2018-04-12T10:42:26Z,0,0,0,1,0,0
