"Reference","Latitude","Longitude"
"TBM1996091608",27.876833,-82.574833
"TBM1996091609",27.896,-82.532833
"TBM1996091703",27.947,-82.549167
"TBM1996091704",27.953833,-82.5475
"TBM1996091705",27.931333,-82.7025
"TBM1996091707",27.998167,-82.635
"TBM1996091708",28.002333,-82.664667
"TBM1996081408",27.951833,-82.712167
"TBM1996090603",27.911,-82.659667
"TBM1996091701",27.946,-82.6375
"TBM1996091709",28.008,-82.671167
"TBM1996091710",27.988167,-82.687833
"TBM1996072209",27.987667,-82.652333
"TBM1996062013",27.929333,-82.661167
"TBM1996081519",27.874167,-82.600833
"TBM1996072303",27.8845,-82.621667
"TBM1996022007",28.003333,-82.666167
"TBM1996061403",27.972833,-82.5945
"TBM1996090602",27.909167,-82.6435
"TBM1996091104",27.883167,-82.533667
"TBM1996091706",27.979333,-82.693167
"TBM2003101705",27.917917,-82.676133
"TBM2003101708",27.929983,-82.68435
"TBM2003101709",27.929483,-82.684317
"TBM2003101710",27.922567,-82.687733
"TBM2003111001",27.888567,-82.627133
"TBM2003111010",27.923017,-82.68765
"TBM2003111013",27.942417,-82.712067
"TBM2003111305",27.865383,-82.59875
"TBM2003111605",27.84715,-82.55115
"TBM2003111606",27.8401,-82.545833
"TBM2003111703",27.874017,-82.606317
"TBM2003111704",27.875383,-82.601667
"TBM2003111706",27.880883,-82.614767
"TBM2003111709",27.9536,-82.547533
"TBM2003111714",27.9501,-82.547867
"TBM2003111802",27.925967,-82.692133
"TBM2003111803",27.95775,-82.702433
"TBM2003111806",27.990583,-82.6843
"TBM2003120202",27.9053,-82.6373
"TBM2003120204",27.91975,-82.688
"TBM2003120206",27.979817,-82.688483
"TBM2003120406",27.953033,-82.548583
"TBM2003120409",27.94745,-82.547867
"TBM2003120502",27.874883,-82.6039
"TBM2003120601",27.933833,-82.710317
"TBM2003120602",27.920767,-82.682783
"TBM2003120611",27.9307,-82.683933
"TBM2003101704",27.912783,-82.642867
"TBM2003101707",27.917,-82.68345
"TBM2003111008",27.929383,-82.683933
"TBM2003111302",27.8823,-82.539883
"TBM2003111607",27.840533,-82.5453
"TBM2003111705",27.93245,-82.6135
"TBM2003111707",27.881067,-82.615033
"TBM2003111710",27.960317,-82.54945
"TBM2003111713",27.94905,-82.54825
"TBM1996041708",27.961667,-82.565833
"TBM1996041711",27.964833,-82.566667
"TBM1996011801",27.8835,-82.535833
"TBM1996041713",27.974,-82.600333
"TBM1996042404",27.845667,-82.555
"TBM1996041701",27.959833,-82.691833
"TBM1996051410",27.915,-82.638333
"TBM1996062010",27.915,-82.680333
"TBM2003120405",27.883533,-82.61005
"TBM2003120408",27.9477,-82.547433
"TBM2003120411",27.945583,-82.5528
"TBM2003120608",27.922467,-82.687433
"TBM2003120610",27.92975,-82.684517
"TBM1996072304",27.891167,-82.643667
"TBM2003101711",27.92315,-82.687783
"TBM2003111006",27.930467,-82.657617
"TBM2003111009",27.921967,-82.68735
"TBM2003111304",27.86395,-82.545417
"TBM2003111708",27.877783,-82.61195
"TBM2003111711",27.948833,-82.554233
"TBM2003111712",27.947983,-82.552983
"TBM2003101703",27.91335,-82.64145
"TBM2003111007",27.92985,-82.683217
"TBM2003120203",27.91365,-82.669517
"TBM2003120205",27.9653,-82.692917
"TBM2003120407",27.957817,-82.549183
"TBM2003120603",27.919483,-82.682817
"TBM2003120609",27.924567,-82.687817
"TBM1996091606",27.834333,-82.539167
"TBM1996091610",27.889833,-82.578833
"TBM2003120201",27.973983,-82.5952
"TBM2003120605",27.911983,-82.64615
"TBM1996101004",27.874167,-82.596667
"TBM1996101104",27.9095,-82.627667
"TBM1996101108",27.92,-82.6885
"TBM1996101008",27.881167,-82.539167
"TBM1996101707",27.989167,-82.675
"TBM1996101710",27.9685,-82.686333
"TBM1996101715",27.909167,-82.614
"TBM1996101717",27.9675,-82.582833
"TBM1996101720",27.941167,-82.55
"TBM1996101722",27.971833,-82.604667
"TBM1996101714",27.897333,-82.636833
"TBM1996101608",27.84,-82.586667
"TBM1996110402",27.954833,-82.721167
"TBM1996112004",27.962833,-82.685
"TBM1996112017",27.996833,-82.633833
"TBM1996112022",27.961833,-82.571
"TBM1996112024",27.958833,-82.573
"TBM1996112028",27.9165,-82.683167
"TBM1996112102",27.845667,-82.555167
"TBM1996112107",27.879167,-82.613
"TBM1996120401",27.9735,-82.6045
"TBM1996120404",27.961167,-82.550833
"TBM1996120601",27.881833,-82.539
"TBM1996121001",27.850667,-82.557833
"TBM1996121005",27.823833,-82.5945
"TBM1996121101",27.9975,-82.659
"TBM1996121103",28.0145,-82.647833
"TBM1996121105",27.959167,-82.693
"TBM1996121110",27.921333,-82.697333
"TBM1996121115",27.953833,-82.581667
"TBM1996112008",27.996833,-82.679667
"TBM1996112011",28.0315,-82.6905
"TBM1996112014",27.998667,-82.657667
"TBM1996112106",27.859167,-82.596333
"TBM1996120904",27.992,-82.681833
"TBM1997011508",27.8335,-82.561667
"TBM1997011514",27.951667,-82.7215
"TBM1997011516",27.950333,-82.717833
"TBM1997011520",27.92,-82.688
"TBM1997011523",27.956833,-82.559833
"TBM1997011613",27.964667,-82.571667
"TBM1996110403",27.922333,-82.696333
"TBM1996112027",27.941833,-82.649667
"TBM1996120402",28.0165,-82.682667
"TBM1996112103",27.833833,-82.560833
"TBM1996120603",27.8265,-82.591333
"TBM1996121111",27.942667,-82.648833
"TBM1996121116",27.9595,-82.5765
"TBM1996110401",28.006833,-82.664
"TBM1996120403",27.963167,-82.688167
"TBM1997011521",27.916667,-82.667333
"TBM1997011611",27.882333,-82.616833
"TBM1996101112",27.959333,-82.6935
"TBM1997011512",28.008,-82.676667
"TBM1997011513",27.876,-82.5915
"TBM1997011609",27.931833,-82.533667
"TBM1996120903",27.987,-82.626667
"TBM1996121108",27.915,-82.682667
"TBM1996101610",27.87,-82.536667
"TBM1997011501",27.8635,-82.543167
"TBM1997011509",27.984167,-82.665
"TBM1997011522",27.941333,-82.627167
"TBM1996112025",27.9455,-82.5825
"TBM1996121113",27.947167,-82.580667
"TBM1997011604",27.970833,-82.6905
"TBM1996121002",27.8345,-82.56
"TBM1997011612",27.824667,-82.588833
"TBM1996121006",27.858833,-82.595167
"TBM1997011505",27.8475,-82.551833
"TBM1997021205",27.935833,-82.5475
"TBM1997021906",27.848167,-82.549333
"TBM1997021907",27.881833,-82.567167
"TBM1997021910",27.895667,-82.637833
"TBM1997021914",27.935333,-82.535333
"TBM1997022011",27.975,-82.689167
"TBM1997031008",27.873333,-82.549167
"TBM1997031012",27.895667,-82.607333
"TBM1997031104",27.924833,-82.696667
"TBM1997031107",27.912167,-82.656
"TBM1997031111",28.015167,-82.647167
"TBM1997031114",28.005333,-82.675
"TBM1997041401",27.977833,-82.586667
"TBM1997041404",27.962833,-82.572667
"TBM1997041405",27.962167,-82.5715
"TBM1997041611",27.890833,-82.632167
"TBM1997041615",27.8415,-82.539833
"TBM1997021704",27.882167,-82.5345
"TBM1997031014",27.8785,-82.612667
"TBM1997031015",27.874167,-82.605
"TBM1997031101",27.9385,-82.677667
"TBM1997031108",27.921,-82.656833
"TBM1997031815",27.881,-82.539333
"TBM1997032001",27.945333,-82.721167
"TBM1997032002",27.921333,-82.6955
"TBM1997021905",27.842833,-82.553
"TBM1997022006",27.915667,-82.627333
"TBM1997022014",27.991333,-82.684167
"TBM1997031009",27.914,-82.532333
"TBM1997031011",27.936,-82.563333
"TBM1997031016",27.871833,-82.596833
"TBM1997041406",27.962333,-82.560167
"TBM1997021909",27.879667,-82.613833
"TBM1997021912",27.9125,-82.534167
"TBM1997031109",27.985667,-82.632833
"TBM1997021911",27.907833,-82.563667
"TBM1997022017",28,-82.638
"TBM1997031112",27.994333,-82.651667
"TBM1997051403",27.933,-82.6905
"TBM1997051407",27.977167,-82.6655
"TBM1997051408",27.9925,-82.654333
"TBM1997051503",27.875,-82.585167
"TBM1997051903",27.876167,-82.597167
"TBM1997051912",27.868667,-82.607
"TBM1997052301",28.010333,-82.666333
"TBM1997041601",27.887333,-82.583167
"TBM1997041607",27.931167,-82.604167
"TBM1997051402",27.915667,-82.682833
"TBM1997051504",27.88,-82.6135
"TBM1997052302",27.913,-82.6755
"TBM1997031004",27.833667,-82.536667
"TBM1997041604",27.927667,-82.5515
"TBM1997051401",27.9645,-82.573833
"TBM1997051404",27.922167,-82.694167
"TBM1997051505",27.891167,-82.638
"TBM1997051906",27.878,-82.590167
"TBM1997041624",28.008333,-82.638833
"TBM1997042402",28.005167,-82.664667
"TBM1997022010",27.975333,-82.689167
"TBM1997031105",27.909333,-82.65
"TBM1997021701",27.874667,-82.5945
"TBM1997032003",27.913,-82.663167
"TBM1997042404",27.973667,-82.600667
"TBM1997051405",27.928,-82.706833
"TBM1997051406",27.950667,-82.723333
"TBM1997051501",27.873833,-82.541
"TBM1997021908",27.879667,-82.613833
"TBM1997022008",27.9365,-82.579667
"TBM1997011503",27.976333,-82.587167
"TBM2003101706",27.91815,-82.68235
"TBM2003111004",27.9123,-82.6426
"TBM2003111012",27.917617,-82.682467
"TBM2003111701",27.879717,-82.600367
"TBM2003111702",27.881167,-82.598617
"TBM2003111801",27.9685,-82.576617
"TBM2003120404",27.870633,-82.590867
"TBM2003120503",27.86385,-82.545517
"TBM2004010706",27.841933,-82.545917
"TBM2004010707",27.8407,-82.544367
"TBM2004010709",27.84795,-82.54935
"TBM2004010710",27.84765,-82.55135
"TBM2004010801",27.924017,-82.5322
"TBM2004010805",27.950333,-82.547633
"TBM2004010806",27.950683,-82.547467
"TBM2004010807",27.959467,-82.549217
"TBM2003111011",27.9179,-82.682267
"TBM2003111604",27.845917,-82.547967
"TBM2004010803",27.949883,-82.553717
"TBM2004010808",27.9583,-82.548883
"TBM2003111005",27.9143,-82.63845
"TBM2003111303",27.865433,-82.546217
"TBM2003111609",27.83645,-82.5508
"TBM2003120410",27.945517,-82.553267
"TBM2004010802",27.932617,-82.537467
"TBM2004010804",27.94845,-82.554617
"TBM2004010811",27.8764,-82.597683
"TBM2004010812",27.876317,-82.598533
"TBM2004010902",28.016683,-82.6827
"TBM2004010905",27.974167,-82.59845
"TBM2004010906",27.973917,-82.602217
"TBM2004011504",27.920933,-82.687817
"TBM2004020103",27.990933,-82.623283
"TBM2004020401",27.928117,-82.68325
"TBM2004020403",27.922817,-82.687683
"TBM2004020404",27.922467,-82.688017
"TBM2004021002",27.87555,-82.600383
"TBM2004021407",27.95005,-82.548867
"TBM2004010901",27.954717,-82.720317
"TBM2004010907",27.97235,-82.6125
"TBM2004011503",27.92125,-82.687083
"TBM2004011505",27.9281,-82.684167
"TBM2004011509",27.913467,-82.6426
"TBM2004020402",27.930917,-82.683533
"TBM2004020407",27.92,-82.649
"TBM2003120604",27.913083,-82.642983
"TBM2004010501",27.8627,-82.59125
"TBM2004010708",27.851083,-82.555917
"TBM2004011506",27.928083,-82.6832
"TBM2004020101",27.9564,-82.7121
"TBM2004021404",27.953867,-82.548583
"TBM2004021406",27.94975,-82.54785
"TBM2004021405",27.9555,-82.5487
"TBM2004021408",27.949067,-82.553183
"TBM2004030305",27.917967,-82.682833
"TBM2004030309",27.930267,-82.68365
"TBM2004030404",27.826217,-82.593167
"TBM2004031001",27.873867,-82.60735
"TBM2004031002",27.874083,-82.606
"TBM2004031004",27.880667,-82.598033
"TBM2004031007",27.94795,-82.552917
"TBM2004031008",27.948883,-82.552983
"TBM2004031009",27.9503,-82.547767
"TBM2004031010",27.950383,-82.5474
"TBM2004031206",27.909283,-82.6303
"TBM2004031604",27.848117,-82.548767
"TBM2004031606",27.8417,-82.546717
"TBM2004031610",27.8661,-82.53965
"TBM2004040401",27.927933,-82.706
"TBM2004040402",27.904733,-82.632867
"TBM2004010705",27.83705,-82.554133
"TBM2004010809",27.8778,-82.6032
"TBM2004011510",27.911767,-82.644517
"TBM2004020105",28.0056,-82.6645
"TBM2004020405",27.920767,-82.683833
"TBM2004020406",27.917433,-82.682817
"TBM2004021409",27.948883,-82.553883
"TBM2004030304",27.911683,-82.645083
"TBM2004030307",27.923433,-82.6878
"TBM2004030308",27.922533,-82.6879
"TBM2004030311",27.9024,-82.641767
"TBM2004031011",27.9594,-82.549333
"TBM2004031201",28.00065,-82.655383
"TBM2004031607",27.841133,-82.544983
"TBM2004040405",28.001617,-82.632633
"TBM2004041403",27.832683,-82.562017
"TBM2004041406",27.835383,-82.589633
"TBM2004021001",27.89965,-82.6354
"TBM2004021005",27.849683,-82.547517
"TBM2004030303",27.9125,-82.64285
"TBM2004010814",27.88155,-82.594883
"TBM2004010813",27.88265,-82.589983
"TBM2004010904",27.99085,-82.620317
"TBM2004020102",27.9703,-82.617683
"TBM2004020410",27.913167,-82.641783
"TBM2004021006",27.87785,-82.53215
"TBM2004010704",27.837483,-82.5536
"TBM2004010810",27.878,-82.6033
"TBM2004021004",27.825467,-82.59205
"TBM2004021403",27.859733,-82.595467
"TBM2004011501",27.91845,-82.682917
"TBM2004030306",27.921183,-82.683833
"TBM2004031006",27.87925,-82.6077
"TBM2004031205",27.930633,-82.713183
"TBM2004040104",27.88925,-82.61635
"TBM2004040904",27.91185,-82.535533
"TBM2004040905",27.927417,-82.533133
"TBM2004041407",27.835367,-82.582833
"TBM2004031012",27.96015,-82.549417
"TBM2004031202",28.018217,-82.66725
"TBM2004040105",27.882767,-82.616733
"TBM2004030312",27.8892,-82.628367
"TBM2004031608",27.8377,-82.552183
"TBM2004030310",27.92955,-82.683167
"TBM2004031005",27.8789,-82.606917
"TBM2004031611",27.866533,-82.5382
"TBM2004031609",27.837267,-82.553067
"TBM2004031603",27.848067,-82.54965
"TBM2004031605",27.84285,-82.549533
"TBM1996041705",27.989833,-82.625833
"TBM2004020411",27.911433,-82.645983
"TBM2004050501",27.993233,-82.683333
"TBM2004050601",27.86675,-82.542033
"TBM2004050604",27.953617,-82.7219
"TBM2004050605",27.95565,-82.719333
"TBM2004050802",27.830667,-82.58855
"TBM2004050507",27.974433,-82.688617
"TBM2004060102",27.998,-82.656133
"TBM2004041302",27.842133,-82.555767
"TBM2004041401",27.83905,-82.541267
"TBM2004050504",28.010017,-82.6664
"TBM2004060903",27.891717,-82.637983
"TBM2004060101",28.008133,-82.676867
"TBM2004060902",27.91025,-82.644533
"TBM2004060904",27.878533,-82.615317
"TBM2004060106",27.968817,-82.6395
"TBM2004070503",28.01155,-82.656917
"TBM2004070505",27.9191,-82.687917
"TBM2004060104",27.976767,-82.687533
"TBM2004070504",27.97015,-82.5745
"TBM2004031204",27.93655,-82.720917
"TBM2003120403",27.846417,-82.5888
"TBM1997061703",27.836167,-82.545
"TBM1997061705",27.905333,-82.6325
"TBM1997061708",27.906833,-82.640333
"TBM1997062002",27.875667,-82.592667
"TBM1997062307",27.9525,-82.698
"TBM1997062308",27.912667,-82.6725
"TBM1997062311",27.941167,-82.5735
"TBM1997062403",27.825833,-82.5915
"TBM1997061704",27.833833,-82.552333
"TBM1997061711",27.936333,-82.7215
"TBM1997062310",27.9125,-82.605333
"TBM1997062312",27.968167,-82.633833
"TBM1997062402",27.826833,-82.591333
"TBM1997062306",28.000333,-82.6745
"TBM1997062303",27.999667,-82.633833
"TBM1997071407",27.9045,-82.637667
"TBM1997072103",27.976833,-82.687
"TBM1997072105",27.9375,-82.722833
"TBM1997072107",27.965333,-82.657
"TBM1997072108",27.954833,-82.550167
"TBM1997072109",27.962,-82.571667
"TBM1997072202",27.8425,-82.589
"TBM1997072205",27.887333,-82.614
"TBM1997081102",27.973333,-82.606833
"TBM1997081112",27.909833,-82.643833
"TBM1997081113",27.931,-82.544667
"TBM1997081115",27.9635,-82.5745
"TBM1997081205",27.8455,-82.586
"TBM1997071706",27.8425,-82.540667
"TBM1997072106",27.942833,-82.686667
"TBM1997072204",27.889833,-82.551
"TBM1997072206",27.908833,-82.628
"TBM1997081109",27.882667,-82.533667
"TBM1997081111",27.913167,-82.672
"TBM1997081203",27.826,-82.592
"TBM1997081204",27.9125,-82.671833
"TBM1997081206",27.9195,-82.687833
"TBM1997071402",28.031167,-82.6915
"TBM1997081106",27.995167,-82.623833
"TBM1997072203",27.854167,-82.592667
"TBM1997072104",27.941,-82.720333
"TBM1997062304",28.004,-82.638833
"TBM1997051410",27.9915,-82.621333
"TBM2004071701",27.853567,-82.59675
"TBM2004071707",27.846683,-82.5944
"TBM2004071708",27.831333,-82.581433
"TBM2004080201",27.88645,-82.613283
"TBM2004080207",27.837533,-82.537
"TBM2004071003",27.883083,-82.620267
"TBM2004071103",27.848533,-82.5549
"TBM2004071002",27.88265,-82.619533
"TBM2004076201",28.017917,-82.67405
"TBM2004080202",27.869017,-82.603
"TBM2004081201",27.96205,-82.571667
"TBM2004081203",27.91565,-82.678433
"TBM2004081204",27.956717,-82.712417
"TBM2004081205",28.025517,-82.665267
"TBM1997091109",27.973333,-82.606
"TBM1997091208",27.836667,-82.537667
"TBM1997081110",28.016667,-82.683
"TBM1997081114",27.9405,-82.547
"TBM1997091806",27.962,-82.686333
"TBM1997091808",27.9615,-82.6875
"TBM1997091809",27.96,-82.702333
"TBM1997091811",27.963,-82.682833
"TBM1997091815",27.9155,-82.591167
"TBM1997091816",27.927167,-82.573167
"TBM2004071706",27.850483,-82.58995
"TBM1997091813",27.910833,-82.658667
"TBM1997091818",27.944167,-82.5925
"TBM1997091901",27.895833,-82.532833
"TBM1997091906",27.8435,-82.544167
"TBM1997091908",27.880167,-82.5325
"TBM1997100705",27.94,-82.551
"TBM1997100707",27.9275,-82.533833
"TBM1997100716",27.957167,-82.709
"TBM1997100720",27.9515,-82.691333
"TBM1997100722",27.9675,-82.670167
"TBM1997100723",27.989167,-82.683167
"TBM1997100725",28.018,-82.667
"TBM1997100804",27.830167,-82.588833
"TBM1997100809",27.873167,-82.5845
"TBM1997100811",27.868667,-82.5885
"TBM1997100814",27.969833,-82.578167
"TBM1997101502",27.868167,-82.599167
"TBM1997101503",27.866667,-82.599333
"TBM1997091907",27.834167,-82.543
"TBM1997100724",27.989833,-82.6845
"TBM1997100726",27.9995,-82.6365
"TBM1997100803",27.829833,-82.587833
"TBM1997101008",27.973,-82.6035
"TBM2004071105",27.8823,-82.534383
"TBM2004071001",27.885067,-82.61685
"TBM2004071705",27.842117,-82.594067
"TBM2004090506",27.84305,-82.54815
"TBM2004090702",27.853533,-82.59665
"TBM2004081601",27.829483,-82.589267
"TBM2004081602",27.8388,-82.5853
"TBM2004081603",27.8382,-82.591883
"TBM2004081604",27.840683,-82.591467
"TBM2004081606",27.85455,-82.59665
"TBM2004090701",27.882433,-82.619283
"TBM2004090705",27.93715,-82.559017
"TBM2004090706",27.923717,-82.5316
"TBM1997091201",27.918167,-82.609167
"TBM2004081206",27.9996,-82.66795
"TBM2004090505",27.846983,-82.549633
"TBM2004091301",27.9725,-82.58535
"TBM2004091304",27.916633,-82.6849
"TBM2004091307",28.002517,-82.656383
"TBM1997110703",27.882,-82.619167
"TBM1997110707",27.876667,-82.595333
"TBM1997110709",27.845167,-82.594
"TBM2004091302",27.972383,-82.592517
"TBM2004091601",27.85305,-82.596583
"TBM2004091604",27.851983,-82.595917
"TBM2004081608",27.842067,-82.5939
"TBM2004091305",27.9752,-82.69005
"TBM2004091605",27.848283,-82.59515
"TBM2004091606",27.843167,-82.595533
"TBM2004091607",27.837583,-82.5912
"TBM2004091608",27.833833,-82.58615
"TBM2004081609",27.8334,-82.588917
"TBM2004091306",27.973533,-82.687667
"TBM1997111002",28.004167,-82.654167
"TBM1997111003",27.935,-82.716667
"TBM1997111006",27.909167,-82.644167
"TBM1997111701",28.012667,-82.676333
"TBM1997111703",27.956167,-82.715167
"TBM1997111706",27.970667,-82.596333
"TBM1997111708",27.901833,-82.540333
"TBM1997111802",27.845833,-82.588333
"TBM1997111806",27.907667,-82.633667
"TBM1997100710",27.952667,-82.5845
"TBM1997101003",27.972966,-82.603906
"TBM1997120804",27.978333,-82.606
"TBM1997120813",27.983167,-82.684833
"TBM1997120816",27.911,-82.6445
"TBM1998010914",27.921167,-82.6405
"TBM1998012001",27.963167,-82.689333
"TBM1998021203",28.029667,-82.685833
"TBM1998021205",27.917,-82.681833
"TBM1998021807",27.926667,-82.690833
"TBM1997111702",28.023333,-82.684167
"TBM1997111705",27.938667,-82.721
"TBM1997111707",27.920667,-82.5455
"TBM1997111805",27.922167,-82.6285
"TBM1997120503",27.8595,-82.596667
"TBM1997120805",27.999167,-82.660167
"TBM1997120906",27.830167,-82.581833
"TBM1997120917",27.961667,-82.591333
"TBM1997091103",28.0175,-82.667
"TBM1997091107",27.947167,-82.724167
"TBM1998012002",27.960833,-82.693333
"TBM1998012004",27.900833,-82.639833
"TBM1997100714",27.931,-82.706833
"TBM1997100806",27.830333,-82.581667
"TBM1998012103",27.881667,-82.533833
"TBM1998021202",27.859667,-82.591833
"TBM1998021206",27.937833,-82.7215
"TBM1997111004",27.913333,-82.670833
"TBM1998031306",27.893833,-82.638167
"TBM1998031310",27.8655,-82.6045
"TBM1998031311",27.864833,-82.5985
"TBM1997111804",27.8925,-82.587
"TBM1997111704",27.951333,-82.72
"TBM1997111803",27.890667,-82.586333
"TBM1997120507",27.881,-82.539833
"TBM1997120803",27.977833,-82.585333
"TBM1997120811",27.962333,-82.691167
"TBM1998031302",27.873667,-82.599333
"TBM1998032402",27.988,-82.6215
"TBM1998032405",28.029333,-82.690667
"TBM1998032406",28.006167,-82.675333
"TBM1997120812",27.906333,-82.6345
"TBM1997120918",27.9565,-82.559
"TBM1998010906",27.950333,-82.720833
"TBM1998012109",27.8305,-82.5895
"TBM1998021204",28.0175,-82.668333
"TBM1998021805",27.960167,-82.701333
"TBM1998041503",27.97,-82.690333
"TBM1998041509",27.915167,-82.677667
"TBM1998041513",27.913833,-82.673833
"TBM1998010922",27.972167,-82.5985
"TBM1998041508",27.9165,-82.684333
"TBM1998041516",27.919667,-82.688333
"TBM1998041601",27.826833,-82.591
"TBM1998041604",27.905333,-82.633
"TBM1998041607",27.876333,-82.597167
"TBM1998051202",27.997667,-82.635833
"TBM1998051203",27.896667,-82.6375
"TBM1998051204",27.901167,-82.64
"TBM1998051307",27.846833,-82.5525
"TBM1998032403",27.998333,-82.654667
"TBM1998051201",28.023167,-82.687167
"TBM1998051302",27.9325,-82.537
"TBM1998051304",27.831833,-82.588167
"TBM1998061504",28.006667,-82.654333
"TBM1998061505",27.997,-82.680333
"TBM1998061506",27.990167,-82.682833
"TBM1998061901",27.87,-82.539667
"TBM1998061902",27.8825,-82.534167
"TBM1998061903",27.864167,-82.545833
"TBM1998061904",27.843333,-82.541667
"TBM1998061905",27.904167,-82.535833
"TBM1998071704",27.843667,-82.5435
"TBM1998071705",27.864,-82.540167
"TBM1998072101",27.871333,-82.593833
"TBM1998072102",27.8645,-82.5955
"TBM1998072103",27.910833,-82.6275
"TBM1998072105",27.917333,-82.681333
"TBM1998072202",28.003333,-82.654167
"TBM1998072205",27.96,-82.688667
"TBM1998072206",27.962833,-82.572667
"TBM1998081302",27.918333,-82.686333
"TBM1998081304",27.876667,-82.5955
"TBM1998081703",27.960833,-82.695
"TBM1998081708",27.960833,-82.549167
"TBM1998081715",27.997833,-82.661
"TBM1998081717",28.025167,-82.688167
"TBM1998081905",27.827,-82.5915
"TBM1998021803",27.954667,-82.720333
"TBM1998032404",28.003333,-82.653667
"TBM1998032407",27.955,-82.704167
"TBM1998032401",27.969667,-82.58
"TBM1998041603",27.833167,-82.554333
"TBM1997120815",27.911,-82.6445
"TBM1997120915",27.908333,-82.628667
"TBM1998010910",27.922167,-82.684
"TBM1998010912",27.917,-82.673667
"TBM1998041501",27.983167,-82.606667
"TBM2004011502",27.9215,-82.683167
"TBM2004031003",27.8805,-82.597817
"TBM1998061805",27.847833,-82.593333
"TBM1998051205",27.912167,-82.656333
"TBM1998041605",27.834,-82.5885
"TBM1998051303",27.865667,-82.6045
"TBM1998061507",27.945667,-82.721833
"TBM1998072104",27.912167,-82.672333
"TBM1998051207",27.888833,-82.627333
"TBM1998051206",27.912167,-82.660333
